date,min_level,avg_level,max_level
2020-10-07,-0.152,-0.152,-0.151
2020-10-08,-0.126,-0.102,-0.077
2020-10-09,-0.115,-0.082,-0.016
2020-10-10,-0.098,-0.092,-0.086
2020-10-11,-0.094,-0.079,-0.063
2020-10-12,-0.069,-0.060,-0.050
2020-10-13,-0.084,-0.050,-0.016
2020-10-14,-0.037,-0.036,-0.034
2020-10-15,-0.057,-0.047,-0.037
2020-10-16,-0.109,-0.081,-0.054
2020-10-17,-0.085,-0.069,-0.053
2020-10-18,-0.105,-0.086,-0.072
2020-10-19,-0.120,-0.086,-0.052
2020-10-20,-0.081,-0.072,-0.063
2020-10-21,-0.117,-0.117,-0.116
2020-10-22,-0.134,-0.096,-0.057
2020-10-23,-0.075,-0.048,-0.010
2020-10-24,-0.116,-0.094,-0.072
2020-10-25,-0.057,-0.046,-0.034
2020-10-26,-0.112,-0.030,0.064
2020-10-27,-0.091,-0.067,-0.042
2020-10-28,-0.093,-0.056,-0.019
2020-10-29,-0.220,-0.119,-0.035
2020-10-30,-0.260,-0.204,-0.157
2020-10-31,-0.239,-0.210,-0.181
2020-11-01,-0.252,-0.199,-0.156
2020-11-02,-0.254,-0.213,-0.145
2020-11-03,-0.260,-0.197,-0.153
2020-11-04,-0.264,-0.250,-0.239
2020-11-05,-0.238,-0.190,-0.150
2020-11-06,-0.270,-0.217,-0.175
2020-11-07,-0.286,-0.252,-0.217
2020-11-08,-0.255,-0.222,-0.201
2020-11-09,-0.281,-0.250,-0.219
2020-11-10,-0.216,-0.206,-0.196
2020-11-11,-0.365,-0.328,-0.291
2020-11-12,-0.455,-0.407,-0.384
2020-11-13,-0.413,-0.401,-0.388
2020-11-14,-0.421,-0.421,-0.421
2020-11-15,-0.449,-0.438,-0.426
2020-11-16,-0.463,-0.421,-0.368
2020-11-17,-0.465,-0.463,-0.461
2020-11-18,-0.461,-0.444,-0.426
2020-11-19,-0.463,-0.463,-0.462
2020-11-20,-0.456,-0.428,-0.400
2020-11-21,-0.472,-0.442,-0.411
2020-11-22,-0.478,-0.437,-0.396
2020-11-23,-0.463,-0.432,-0.400
2020-11-24,-0.427,-0.392,-0.356
2020-11-25,-0.430,-0.391,-0.351
2020-11-26,-0.444,-0.407,-0.370
2020-11-27,-0.455,-0.414,-0.384
2020-11-28,-0.435,-0.424,-0.413
2020-11-29,-0.445,-0.414,-0.383
2020-11-30,-0.451,-0.409,-0.384
2020-12-01,-0.437,-0.408,-0.379
2020-12-02,-0.463,-0.436,-0.409
2020-12-03,-0.468,-0.441,-0.413
2020-12-04,-0.451,-0.294,-0.037
2020-12-05,-0.369,0.225,0.856
2020-12-06,-0.196,0.135,0.352
2020-12-07,-0.390,0.080,0.337
2020-12-08,-0.553,-0.124,0.173
2020-12-09,-0.268,-0.112,0.040
2020-12-10,-0.261,-0.132,0.056
2020-12-11,-0.256,-0.154,-0.002
2020-12-12,-0.204,-0.021,0.208
2020-12-13,-0.187,-0.131,-0.032
2020-12-14,-0.582,-0.078,0.222
2020-12-15,-0.203,-0.152,-0.115
2020-12-16,-0.302,-0.202,-0.147
2020-12-17,-0.353,-0.233,-0.147
2020-12-18,-0.455,-0.372,-0.233
2020-12-19,-0.466,-0.315,-0.151
2020-12-20,-0.455,-0.452,-0.448
2020-12-21,-0.488,-0.369,-0.205
2020-12-22,-0.242,-0.140,0.080
2020-12-23,-0.213,0.186,0.358
2020-12-24,1.023,1.507,1.964
2020-12-25,0.715,1.449,1.831
2020-12-26,0.031,0.602,1.497
2020-12-27,0.088,0.472,1.141
2020-12-28,0.193,0.567,1.181
2020-12-29,-0.208,0.236,0.607
2020-12-30,-0.295,0.055,0.315
2020-12-31,-0.205,-0.128,0.096
2021-01-01,-0.278,-0.176,-0.109
2021-01-02,-0.388,-0.210,-0.138
2021-01-03,-0.547,-0.264,-0.149
2021-01-04,-0.578,-0.189,0.215
2021-01-05,-0.332,-0.043,0.246
2021-01-06,-0.244,-0.035,0.242
2021-01-07,-0.269,-0.027,0.248
2021-01-08,-0.223,-0.061,0.125
2021-01-09,-0.711,-0.359,0.020
2021-01-10,-0.674,-0.508,-0.217
2021-01-11,-0.749,-0.565,-0.331
2021-01-12,-0.653,-0.334,-0.143
2021-01-13,-0.476,-0.243,-0.149
2021-01-14,-0.756,0.487,2.242
2021-01-15,0.980,1.282,1.957
2021-01-16,0.812,1.335,2.271
2021-01-17,0.857,0.916,0.974
2021-01-18,0.495,0.765,0.993
2021-01-19,0.400,0.562,0.724
2021-01-20,0.734,1.072,1.837
2021-01-21,0.753,0.962,1.379
2021-01-22,0.934,1.192,1.698
2021-01-23,0.340,0.340,0.340
2021-01-24,0.195,0.440,0.993
2021-01-25,0.141,0.322,0.746
2021-01-26,-0.208,0.098,0.397
2021-01-27,-0.192,0.156,0.395
2021-01-28,-0.227,0.375,1.634
2021-01-29,0.920,1.864,2.290
2021-01-30,1.397,1.458,1.519
2021-01-31,0.693,0.717,0.741
2021-02-01,0.151,0.283,0.499
2021-02-02,0.007,0.254,0.550
2021-02-03,0.426,0.505,0.583
2021-02-04,0.587,0.774,0.961
2021-02-05,0.246,0.525,1.214
2021-02-06,0.243,0.550,0.920
2021-02-07,1.618,1.792,1.966
2021-02-08,1.808,1.965,2.122
2021-02-09,1.303,1.422,1.541
2021-02-10,0.893,0.976,1.059
2021-02-11,0.191,0.351,0.654
2021-02-12,-0.207,0.153,0.336
2021-02-13,-0.188,0.043,0.344
2021-02-14,-0.608,-0.305,-0.141
2021-02-15,-0.699,-0.133,0.348
2021-02-16,-0.220,0.163,0.580
2021-02-17,-0.196,0.143,0.585
2021-02-18,-0.229,0.015,0.320
2021-02-19,-0.283,0.080,0.386
2021-02-20,-0.309,-0.004,0.223
2021-02-21,-0.184,0.142,0.247
2021-02-22,-0.202,0.166,0.335
2021-02-23,-0.689,-0.230,0.139
2021-02-24,-0.785,-0.404,-0.222
2021-02-25,-0.695,-0.519,-0.320
